Description,Price,Sqr Ft,Longitude,Latitude,Beds,Bath,Year Built,Address,City,State,Zipcode
" Decorator ready just waiting for you to design your dream space. Best deal for a 2/2 on Key Biscayne. Nature Reserve. Bike Trails. Tennis Courts. Steps to beach! Amenities include swimming pool, recreation room, tennis court, private beach entrance and lots of visitors parking.2 parking spaces, extra under a/c on floor storage unit. A+ schools, walking to Bill Baggs State Park/Nature trails. A dream for families, nature, sports ethusiasts, retirees and those who want to be within minutes of Miami but live the island lifestyle. Qualified Cash Buyers Only. ","$389,000 ","1,330 sqft",-80.1603,25.6856,2,2,1972," 210 Sea View Dr #203 Key Biscayne, FL 33149 ",Key Biscayne,FL,33149
" This 2-story townhome is located in coveted Forrest Lake subdivision in NW Houston. The unit has 3 bedrooms, 2 and a half bathrooms, a 2-car carport (covered), an outdoor patio and a designated storage space. HOA covers Basic Cable, Water, Roof, Exterior Paint, Trash, Common Area Yard Care, Swimming Pool, Tennis Courts, Club House, and Lake. Buyer to verify all measurements. LOCATION, LOCATION! Minutes to Downtown, Galleria, Memorial Center, and Energy Corridor! ","$139,900 ","1,890 sqft",-95.48497,29.852587,3,3,1976," 5801 Lumberdale Rd #236 Houston, TX 77092 ",Houston,TX,77092
" Welcome to 521 Tollis Parkway Unit #493. This two bedroom condo comes will all appliances along with covered guest parking. The property is in a nice location and the grounds and building are well maintained. Laundry rooms are located on each floor. The monthly association fee includes heat, water, sewer, and trash removal. Please set up a showing right away this will not last long! ","$59,900 ",810 sqft,-81.6878,41.327526,2,1,1969," 521 Tollis Pkwy #493 Broadview Heights, OH 44147 ",Broadview Heights,OH,44147
" recently remodeled 2br/2ba unit. home was fresh painted, new tile and laminate flooring, new granite countertops with under mount sink, new stainless steel refrigerator, electric stove, microvave and dishwasher. this home is a must see !!!! ","$111,900 ","1,022 sqft",-115.09568,36.178947,2,2,1983," 825 Mantis Way #2 Las Vegas, NV 89110 ",Las Vegas,NV,89110
" Spacious three bedroom Cape Cod home with a large living room, dining room and huge second floor! Property has a two car garage and partially finished basement. Home does need some cosmetic updates, so could be perfect for an investor or someone handy. Sold as is. ","$49,900 ","1,668 sqft",-81.55795,41.419083,3,2,1931," 5210 Philip Ave Maple Heights, OH 44137 ",Maple Heights,OH,44137
" Everyone wins with this super cute SW Durham cutie! The perfect location, easy access to anything Durham, Chapel Hill & RTP. Sweet house has a dramatic vaulted ceiling in living room & custom floor to ceiling built ins. Open living is spacious & functional. Lives large with loads of natural light & good flow. Can't miss the ultimate SHED WORKSHOP, is huge, dreamy extra space with so many options for use! Bathrooms & appliances updated & designer paint. Fenced yard, chicken coop & fruit trees. This is it!! ","$225,000 ","1,135 sqft",-78.8961,35.92104,3,2,1984," 5602 Loyal Ave Durham, NC 27713 ",Durham,NC,27713
" Hill Country gem in Great Hills! You will be amazed by this multi-level beauty that has wooded views and an expansive outdoor living space offering multiple patios and a private, upstairs balcony. Perfect for entertaining both indoors and out. The many, large windows make this home bright and welcoming. Beautiful floor to ceiling stone wrap around fireplace featured in a large living room and a second bonus room that can be used as an office or formal dining. Recently updated entire second floor and updates throughout the house. Easy access to Hwy 360, 183, and Mopac. Located close to The Domain and walking distance to Westover Hills Club. ","$700,000 ","2,280 sqft",-97.75314,30.384321,3,3,1973," 8849 Mountain Ridge Cir Austin, TX 78759 ",Austin,TX,78759
" great unit , was remodeled 1 year ago , all tile and wood ,bring you client is good for investors rented at $950 per month under contract untill april, great tenants Brokered And Advertised By: Avanti Way Listing Agent: Antonio Alarcon ","$139,000 ",770 sqft,-80.3321,25.564896,1,1,1993," 21533 SW 87th Ct #102 Cutler Bay, FL 33189 ",Cutler Bay,FL,33189
" Welcome Home! Super Clean Spacious Ranch with a Total of 2042 Square Feet Ready to Move Right In! Hardwood Floors in Living Room, Hall and Two Bedrooms. New Carpet in Third Bedroom. Fresh Modern Paint Throughout. Spacious Living Room and Master Bedroom. Large Eat In Kitchen with Plenty of Cabinets, New Waterproof Laminate Flooring, Ample Lighting, Range Included. Very Cute Full Bath with Ceramic Tile, New Commode and Large Linen Closet. Huge Full Basement. So many possibilities! One section has Vinyl Flooring and New Lighting. Plenty of Room for a Pool Table and More. Bath with Toilet and Shower. Another Huge Section with Nature Stone Flooring. Work Shop Area with Built In Work Bench and Separate Laundry Area Includes Washer and Dryer plus Plenty of Storage Space. Two Car Garage with Opener. Double Wide Lot is .24 Acres. All Vinyl Windows plus several New Windows Including Picture Window. Blinds on All Windows. Many new Light Fixtures and Outlets. Professionally Waterproofed Basement by B-Dry System with Transferable Warranty. 100 Amp Electrical. ½ Mile from University Hospital and 3/4 a mile from Downtown Bedford. No Worries Home Warranty Included! ","$87,500 ","1,021 sqft",-81.53016,41.39738,3,2,1954," 27 Avalon Dr Bedford, OH 44146 ",Bedford,OH,44146
" Welcome to this most amazing ocean front home with 3 bedrooms, 5.5 baths & 3480 SQ FT of paradise. With 2 vast entertainment spaces, expansive balconies, this home serves as a wonderful family home or vacation get-a-way! Enjoy unobstructed ocean, intracoastal & city views on the most desirable 03 line. Luxury is everywhere! Enjoy the 5 star amenities w/ a resort-style spa, state of the art fitness center, 2 restaurants, 24 hr security, concierge, private beach & 2 private pools waiting for you to call home. Whether you live in Florida full time or enjoy Miami as your vacation home this is the perfect stunner to make your own! Easy to show & available immediately. ","$2,599,000 ","3,480 sqft",-80.12143,25.925863,3,6,2006," 16051 Collins Ave #1503 Sunny Isles Beach, FL 33160 ",Sunny Isles Beach,FL,33160
" Covered Terrace with Storage Smart Home Security Package Laundry on 1st & 3rd floors Owner's Suite on 3rd floor , Kitchen w/ quartz counters 42"" white cabinets; under-cab lights SS Double oven gas range Bar with GE Monogram wine fridge , Hardwoods throughout 2nd floor Oak treads on stairs Owner's Bath w/ quartz counters White cabinets; large tiled shower ","$371,969 ","1,614 sqft",-80.798416,35.241985,2,2.5,," 1128 E 36th St Charlotte, NC 28205 ",Charlotte,NC,28205
" Take a 3D Tour, CLICK on the 3D BUTTON & Walk Around. Watch a Custom Drone Video Tour, Click on Video Button! Enjoy panoramic views from this amazing 3 bed/2 bath corner condo! Modern kitchen clad w/stainless steel appliances, backsplash, white cabinets, & granite counters is perfect for any home chef. Separate dining room is ideal for hosting fabulous dinner parties. Entertain in your spacious living room that has truly jaw dropping views of the skyline. Unit features hardwood floors, Washer/Dryer, private balcony, wall to wall floor to ceiling windows, & an abundance of natural light. Relax & unwind in your expansive master suite with custom walk in closet & private bath w/ double vanity, soaking tub, and separate shower. Spacious second & third bedrooms. Garage Parking 35,000 extra. Well maintained building w/ sundeck, newly equipped gym, dry cleaners, onsite management, storage, & more. Steps from the brown/red line, Chicago riverwalk, Jewel, Starbucks, Whole foods, shopping, and everything River North has to offer! ","$524,888 ",,-87.63447,41.89189,3,2,2005," 200 W Grand Ave #2101 Chicago, IL 60654 ",Chicago,IL,60654
" NEW LISTING - SPONSOR OWNED - FIRST TIME ON THE MARKET - NO BOARD APPROVAL Interior apartment photos to follow This sun-drenched 1 bedroom is located in an established, pre-war, elevator co-op in the heart of Chelsea! Conveniently located steps from EVERYTHING in this vibrant Downtown neighborhood, The Chelsea Arms at 319 West 18th Street, between 8th & 9th avenues, is a very well-maintained six story, 160 unit building with a tastefully upgraded lobby and common public halls. Apartment 4J is located on the 4th floor, and has gorgeous light and completely unobstructed South city and sky views from ALL rooms. This Sponsor-owned apartment is in ""estate"" condition with great bones and offers its new owner the opportunity to create their dream home. Classic pre-war details include well-proportioned rooms, high ceilings, and great linear wall space offering great storage possibilities. The living room can accommodate comfortable furnishings including a full-sized dining table and chairs. This room has wonderful light and dramatic panoramic sunsets and South Manhattan views. The bedroom is spacious enough to accommodate a king-sized bed, end tables and an armoire or dresser. The well-proportioned bedroom layout permits wall-to-wall, floor-to-ceiling custom built-in closets/storage. The oversized eat-in windowed kitchen has the flexibility of opening up the wall to the living room and installing a sizeable island. Just perfect for the home chef or comfortable dining and entertaining. The windowed bathroom awaits a major modernization including the option of glazing the existing cast-iron tub or the installation of a luxurious step-in shower, attractive modern tiling throughout, and the installation of custom modern fixtures and recessed lighting. Heating is provided via a central steam system and a/c units are through the window style. The coop's financials are solid and Board policies permit Co-purchasing and subletting after two years of ownership with board approval and permits pets on a case-by-case basis. Amenities include a live-in super, an updated laundry room, storage, and a bicycle room. The building is conveniently located to the A, C, E, 1, and F subway lines and is steps away from terrific shopping, wonderful restaurants, The Chelsea Piers, Chelsea Market, the Gallery and Meatpacking Districts, Our current plans are to begin to show the apartment, to qualified purchasers in early Spring by private, individual appointments. Please call the exclusive agent to discuss further details about the building and the apartment, and to get on the priority list NOW to have the opportunity to be among the first to view this apartment! Looking forward to hearing from YOU! ","$749,000 ","33,900 sqft",-74.00165,40.742886,1,1,1928," 319 W 18th St #4J New York, NY 10011 ",New York,NY,10011
" Statuesque luxury! Oversized rooms & fabulous flow. This home brings the outdoors in. Freshly painted thruout. New carpet in upstairs bed & playroom. The rest of the home is hardwood & tile. Enormous gourmet kitchen w/hearthroom & eating area plus a sunroom overlooking beautifully appointed gunite pool & deck areas. Friends entrance, large wet bar, separate utility room w/sink, folding areas & freezer space. Too many amenities to list! A must to see! ","$837,000 ","6,246 sqft",-89.74549,35.08134,5,6,1991," 9522 Gwynnbrook Cv Memphis, TN 38139 ",Memphis,TN,38139
 Beautifully remodeled single-family residence. Great location. Easy fwy access. Freshly painted inside/outside. New flooring and stainless steel appliances. No need to look further for your new home! ,"$279,900 ","1,387 sqft",-115.237236,36.241497,3,2,1983," 6432 Doby Peak Dr Las Vegas, NV 89108 ",Las Vegas,NV,89108
" 2 Bed, 1 Bath Town-home has been Completely Remodeled. New paint, New Kitchen, New Bathroom, Flooring, Carpet. Etc. 3 Parking Spaces in rear of Unit. Washer & Dryer in storage room. This unit is Move In Ready. Great opportunity for Investors. ","$128,000 ",700 sqft,-115.048485,36.16593,2,1,1983," 336 Linn Ln Las Vegas, NV 89110 ",Las Vegas,NV,89110
" Stunning NW Corner Unit, with West & North facing complete ""Walls of Glass"" exposing breathtaking sunsets and urban city views of LA Live, Staples Center and the impressive architecture of the 3 tower, $1.b new construction mega-complex ""Oceanwide Plaza""! Evo South is downtown luxury living at it's finest, a full service ""Green"" high rise, unmatched amenity package including private rooftop indoor/outdoor lounge patio complete with fireplace, rooftop fitness center that rivals any gym around, infinity pool/spa and common area sit neatly tucked onto the 6th floor sun deck and 24hr concierge/doorman! Condo unit is impressive at 1400sf, excellent floor-plan, super bright, 2 bathrooms, kitchen island, hardwood floors and a fantastic NW facing balcony overlooking the pool deck offering the stunning views mentioned above! Walk to everything DTLA's Upscale South Park has to offer! Unit is currently tenant occupied so Interior photo's & showings are limited, but a ""MUST SEE"" that may not last! ","$1,050,000 ","1,400 sqft",-118.26325,34.04052,1,2,2008," 1155 S Grand Ave #716 Los Angeles, CA 90015 ",Los Angeles,CA,90015
" Bruin Park! South Anch's newest premium neighborhood. Introducing the Snowbird ranch floor plan. This is a very well thought out 3 bed 2+bath home. Open Kitchen and dining, large 3 car garage with 11' ceilings throughout. lrg partially covered deck great for BBQ. $5000 towards buyers closing costs with use of builders preferred lender. ","$649,000 ","2,262 sqft",-149.71529,61.07267,3,3,2020," Lot 2 Blk8 Bruin Park Anchorage, AK 99516 ",Anchorage,AK,99516
" Completely remodel 1/1 condo- New appliances- Wall a/c unit in bedroom and portable a/c unit in living room . Centrally located , close to expressways , schools and hospitals. ","$150,000 ",540 sqft,-80.30355,25.730732,1,1,1965," 4500 SW 67th Ave #5 Miami, FL 33155 ",Miami,FL,33155
" i truly love this home you will too! oxford circle neighborhood surround yourself with unique homes all around, this 1937 monterey dwelling,original blueprints, too. full of charm, private hedged front with wrought iron fencing, patio area, fountain, old world wrought iron stairway, arched doorways, adobe style fireplace, plastered walls, hardwood floors , open beamed ceilings, portico porch , covered balcony, brick porch and patios. basement with storage area .paved walkways and driveway, study with custom builtin bookcases ,this is a rare find a romantic home with superior quality. built with pride. walk to the university of pacific the tranquil bells of the campus ring throughout the day.. the miracle mile has convenient shopping nearby walk to your favorite eatery ","$485,000 ","2,007 sqft",-121.30986,37.9718,2,3,1937," 2506 Clarendon Ave Stockton, CA 95204 ",Stockton,CA,95204
" New Epic listing fit for royalty! Professionally furnished and artfully adorned 2/2.5 fully equipped with bed linens, towels, dinnerware, flatware. Beautiful urban city views. Full service building, state of the art gym, conference room, sparkling pool and bar area, home to world renowned Zuma restaurant. ","$825,000 ","1,237 sqft",-80.189545,25.770523,2,3,2008," 200 Biscayne Boulevard Way #5211 Miami, FL 33131 ",Miami,FL,33131
" Great traditional 2 story home freshly power washed, NEW Carpet, NEW LVP on ENTIRE First Floor. Freshly painted throughout the entire home. New Fridge, New Oven , New Dishwasher to be installed this week. LOTS OF NEW!!! Newer windows! Sellers left countertops for the buyers to pick out on their own, but this home is move in ready!!! Located in an established neighborhood close to lots of eateries, local shops and much more. Call today to check it out! ","$279,000 ","1,944 sqft",-76.1986,36.77306,4,3,1989," 2036 Mason Neck Ln Virginia Beach, VA 23464 ",Virginia Beach,VA,23464
 Search no more....What a beauty. This home is pride of ownership. 40+ years to be exact. This a creampuff that's in almost perfect condition. Very well taken care of home. Walk into a very good size living room and dining room. Open concept to gorgeous kitchen with lots of cabinets and a small island. Kitchen leads to a huge all cemented backyard with exterior access to basement. Semi finished updated basement with plenty of storage. 2nd floor has 3 spacious beautiful bedrooms with good size closet space. Updated 3 piece bath with ceramic tile. Finished basement with exit to yard. This home is has the warmest and coziest feelings that makes you want to live there immediately. Close to public transportation and restaurants. Route 1 is walking distance. A must see. This one won't last. ,"$119,900 ","1,140 sqft",-75.13475,40.024677,3,2,1935," 549 W Loudon St Philadelphia, PA 19120 ",Philadelphia,PA,19120
" Huge best corner unit 3 bedrooms /3.1 baths. Top of the line appliances, unparalleled services, resort style amenities and expansive residences. Located in the heart of Brickell, residents are ideally situated within walking distance of Mary Brickell Village and Brickell City Centre offering unparalleled access to a wide array of world - class restaurants, shops, arts and culture. ","$1,599,000 ",,-80.19173,25.763897,3,4,2019," 1000 Brickell Ave #4402 Miami, FL 33131 ",Miami,FL,33131
" Don't miss out! Cute and clean home that is affordably priced. HUGE lot (9583 sq ft), with grass, Oleander, Palm, Pomegranate, Pine and shade trees.RV parking too! Just a few blocks to the beautiful Heritage City Park and to the high school. Light bright and clean inside. Formal living room w/fireplace. Spacious kitchen and a large dinette area. Ceramic tile in high traffic areas. New carpet in the master bedroom. New hot water heater. ","$259,900 ","1,268 sqft",-114.95992,36.02643,3,2,1986," 113 Bosworth Ct Henderson, NV 89015 ",Henderson,NV,89015
" Excellent Location,Close to mayor Transportation. ","$1,390,000 ","2,100 sqft",-73.81632,40.75834,4,2,1910," 4251 147th St Flushing, NY 11355 ",Flushing,NY,11355
" This well maintained ranch in central Virginia Beach features an open floor plan and open living spaces. A converted garage adds an additional bonus/rec room, utility area and access to the backyard. This house was rehabbed in 2013 and features upgrades to kitchen, bathrooms, flooring and appliances. The large backyard and patio are great for entertaining family and friends. ","$210,000 ","1,352 sqft",-76.08464,36.827614,3,2,1962," 400 Garrison Pl Virginia Beach, VA 23452 ",Virginia Beach,VA,23452
" Great opportunity in HOT location opposite Metro Zoo, Deerwood Estates Single Family 2/2 on the canal, 2 car , driveway, 5 minutes to Tamiami Executive airport, 5 minutes to the Turnpike, close to restaurants, stores and much more ! Subject to approval of Miami Dade county probate court! Very easy to show! Seller is very motivated!! ","$270,000 ","1,273 sqft",-80.399155,25.628315,2,2,1991," 12845 SW 150th Ter Miami, FL 33186 ",Miami,FL,33186
" Very quiet place inside the complex. Big open grass area in front of unit. Chynoweth Park right next to the complex for kids to play. Adjacent to swimming pool. Lots of new things - New bright white quartz countertops, with timeless subway tile backsplash. New refrigerator. New stove. New slim profile microwave. New kitchen floor. New hardware for doors. New light fixtures in bathroom, hallway. New baseboards in bathroom. Newly painted bedrooms, fireplace, kitchen cabinets and bathroom cabinets. Unique private back deck next to master bedroom. Front deck for BBQs. Wood-burning fireplace. Washer/Dryer not included. Very well maintained ground floor unit. Attached garage. Wifi enabled garage door remote control set alarm when door open. Ready to move in. Low HOA fees with many amenities and nearby shops, restaurants, etc. ","$579,888 ",986 sqft,-121.81702,37.26009,2,2,1988," 35 Cherry Crest Ln San Jose, CA 95136 ",San Jose,CA,95136
" large spacious two bedroom corner coop unit on 2nd floor, hardwood flooring, newly paint, custom made kitchen cabinet with stainless appliances, granite counter top, over head hood up micro wave with ventilator,newly renovated bathroom with full tile to ceiling, low maintenance cover all utilities, tree line quiet block and convenient to bus, post office, schools , shopping center and major highways, laundry room , storage room , parking , gym. owner occupy and no dog; no sublet allowed ","$338,000 ",900 sqft,-73.83031,40.771637,2,1,1950," 2908 139th St #2 Flushing, NY 11354 ",Flushing,NY,11354
" Charming single story, 3bed/2bath home available in a quiet North Las Vegas community. Excellent location, walking distance from the elementary school and close to shopping and restaurants. Spacious interior is bright and airy with a desirable open floorplan. Vaulted ceilings and soft natural light throughout. Kitchen overlooks the living area with a breakfast bar. You will love the inviting sun room and fully enclosed backyard. Dont miss it. ","$225,000 ","1,141 sqft",-115.11191,36.222233,3,2,2002," 3446 Berg St North Las Vegas, NV 89030 ",North Las Vegas,NV,89030
" Sweeping Mountain and Fountain Views from the Master bedroom, Office/Bonus Room, Kitchen, Living Room and Pool. Slab Granite Kitchen Counters, Stainless Steel Appliances, Tile and Wood Laminate in Master. Newly Painted Outside, New Large Picture Windows. This Home is Located on a Street with Much Larger Properties with More Expensive Custom Homes. No HOA Fee. A Must See. ","$399,900 ","1,720 sqft",-111.743866,33.60113,2,2,1979," 15602 E Cholla Dr Fountain Hills, AZ 85268 ",Fountain Hills,AZ,85268
" Solid, well-maintained home with many updates throughout! This is a wide and deep, spacious, 2 bedroom, formerly 3, with a small additional room, great for nursery or office. Located in incredible Passyunk Square. Convenient to shopping, restaurants, transportation, Center City, stadiums, Broad Street, everything this exciting area has to offer. ","$359,900 ","1,240 sqft",-75.16587,39.925446,3,1,1925," 1938 S 12th St Philadelphia, PA 19148 ",Philadelphia,PA,19148
" Come see this ranch-style house in the Manana Grande subdivision. This brick home with 4-bedrooms, 2-bathrooms has a 2 car garage. Once you walk in and notice the tile flooring, make your way to the bedrooms or towards the NEW kitchen. Make sure to pay attention to the fireplace in the dining room. When you're ready, open the french doors leading to the backyard with a conventional pool. Get all of this and the convenience of shopping and restaurants nearby! ''Your next chapter starts here!'' ","$259,500 ","1,959 sqft",-110.83775,32.196667,4,2,1959," 7218 E 31st St Tucson, AZ 85710 ",Tucson,AZ,85710
" Rarely do you see such an amazing entertainers dream home. The interior is clean and elegant, but the outdoor space is something that your family and friends will enjoy immensely. The luxury lifestyle awaits you in this move in condition home. The backyard is perfect for chilling and taking a dip in the pool (not this time of year...brrrr!) The Grill Masters station is where your chef will cook up the magic. There is a private drive to park your cars or you can take advantage of the ample street parking on this lovely block that is just down the block from PS 312 playground. The basement was used as a daycare center and if you are the right person, you can consider applying to take over the existing business. If you prefer, you can reclaim the extra special space for your playroom, mancave or she shed? If you're serious about a home in beautiful Bergen Beach, you should be serious about acting fast to see this special beauty. ","$779,000 ","1,504 sqft",-73.91082,40.622524,3,2,1984," 1412 E 71st St Brooklyn, NY 11234 ",Brooklyn,NY,11234
" Beautiful END Unit townhouse in VB! New kitchen cabinets, countertops and appliances in 2017! HVAC 2017! Updated floorings! Move in ready! Roof was replaced in 2011! ","$199,900 ","1,496 sqft",-76.16069,36.791107,3,3,1983," 1527 Jameson Dr Virginia Beach, VA 23464 ",Virginia Beach,VA,23464
" Nothing says ""Welcome Home"" like this beautiful, traditional, and charming Cape Cod! Relax and enjoy the outdoors on the comfy front porch. Cozy warm earth tone colors throughout. Stainless steel appliances, Jacuzzi tub, hardwood flooring and finished lower level w/ bar. Modern inclusions to compliment the vintage touch of decorative tin ceilings. Double patios in backyard perfect for entertaining & much more! ","$236,000 ","2,224 sqft",-76.56903,39.35093,4,4,1922," 2701 E Strathmore Ave Baltimore, MD 21214 ",Baltimore,MD,21214
" Exclusive Large lot equipped with two massive storage buildings. One building is approximately 2000 sqft of massive storage space . The second building is approximately 4000 sq ft and includes a frame stage apartment, frame ready for a 3 bedroom w/ kitchen , and 1 and 1/4 baths . This building is also ready w/ prewiring for electric ,hdmi and attached to another very large Storage with another half bath, perfect for storing your favorite toys or workshop for all your hobbies . This great opportunity sits only minutes from Montana and hwy375. ","$249,000 ","2,000 sqft",-106.197624,31.852846,,,2014," 13980 Wagon Trl Clint, TX 79836 ",Clint,TX,79836
 investment opportunity or primary residence 2 bed room 2 bath lower level condo with courtyard style entry nestled in community with pool & spa*kitchen w/builtin microwave*dining area with window*front living room with charming brick fireplace*good size rooms*call for more information* ,"$126,900 ",912 sqft,-115.245865,36.17969,2,2,1985," 709 Rock Springs Dr #102 Las Vegas, NV 89128 ",Las Vegas,NV,89128
" OPEN HOUSE: SUNDAY, JAN. 12th, 2-4PM.. WOW! PAST MODEL HOME, FIRST TIME ON OPEN MARKET .WELL MAINTAINED, 4 BEDROOM, MASTER DOWN WITH BONUS UP. NEW ROOF IN 2015. FRONT PORCH ON CORNER LOT. GREAT LOCATION CLOSE TO I24 AND I65. ","$374,900 ","2,505 sqft",-86.711845,36.014084,4,3,2004," 3017 Brookview Forest Dr Nashville, TN 37211 ",Nashville,TN,37211
 The marvelous Madura from our Brookstone II Signature Collection features an open concept living space with 4 bedrooms and 3 baths. Guests are greeted by a lovely foyer that opens up to the kitchen and family room. The gorgeous kitchen features granite countertops and an island that overlooks the family room. The grand master suite is nestled in the corner of the home for optimum privacy and boasts a spacious master bath and massive walk-in closet. Home automation and a three-car tandem garage complete this beautiful home. An additional second floor can be added and many options are available to customize this home to meet your every need! ,"$332,499 ","2,248 sqft",-98.73735,29.52471,4,3,," 9015 Trail Dust San Antonio, TX 78254 ",San Antonio,TX,78254
" Sierra Verde Estates Jackson Properties single level home extensively upgraded inside and out for entertainment. Gourmet kitchen, heated diving pool/spa, ramada, BBQ, Fireplace, sport court, synthetic grass, travertine and wood flooring. Kitchen has white-glazed cabinetry, stainless appliances, built-in fridge, wall-oven and gas cooktop. Stone counters, large island, pantry and accent lighting. Oversized greatroom with view of the backyard, remote controled shades. Formal dining room, bonus room and wine/bar room. Master is spacious with remodeled bathroom: glass wall to wall shower, new vanity/sinks and custom closet. Oversided bedrooms with beautifully remodeled 2nd bathroom. Custom wine/beer bar that has passage to bonus room. Super clean, 4 car garage with storage and 220v for EV. ","$590,000 ","2,988 sqft",-112.20951,33.677387,3,2.5,1998," 6983 W Quail Ave Glendale, AZ 85308 ",Glendale,AZ,85308
 Located on one of the best streets in Greenpoint this large one bedroom condo is sits on India Street off of Manhattan Avenue. Just a few short feet from the subway entrance and two blocks walk from the East River Ferry. Quiet boutique building nestled in the middle of a tree lined block. Large sunny bedroom and living room. This space also features a dining area that can also be used as an office nook and a Jacuzzi tub! Huge bedroom closet. This unit also comes with additional storage in the basement. Huge sunny shared garden and additional storage and laundry in building. One block walk to shops and dining on Franklin Street and around the corner from everything you need on Manhattan Avenue. ,"$725,000 ",620 sqft,-73.95348,40.732212,1,1,1931," 160 India St #2F Brooklyn, NY 11222 ",Brooklyn,NY,11222
" Located just off of Old Cutler on a private cul-de-sac street in the gated community of Gables By The Sea sits this Gables 3/3 charmer. This nicely remodeled house features newly installed porcelain tile, a 2 year old flat tile roof, kitchen opening to the family room, formal dining room and updated baths. Totally private yard with open pool patio lends itself to relaxing and family fun. Steps away from private community park. Best public and private schools including Pinecrest Elementary. ","$875,000 ","2,285 sqft",-80.279076,25.655054,3,3,1968," 12520 Ramiro St Coral Gables, FL 33156 ",Coral Gables,FL,33156
" Priced under appraised value! This lovely updated ranch with just over 1.7 acres features 2 gas fireplaces, 3 skylights, new HVAC, hardwood and Anderson windows. Formal living room features open layout with 2 skylights, a fireplace, and built in shelves. Family room has a lot of natural lighting, another fireplace and exits to a composite deck. Updated kitchen has quartz tops, inverted subway tile, dbl wall Advantium/oven that also walks out to the deck. Walk out master has two closets attached bath with dual vanities. Secondary bedroom features personal bathroom with marble floors, quartz vanity and standing shower. Basement features third living space with new hardwood floors and walk-in closet. Private backyard features covered patio by pergola with tin roofed shed. Large 2 1/2 garage ","$299,000 ","1,900 sqft",-85.59555,38.166435,2,2,1987," 5507 Fern Brook Ln Louisville, KY 40291 ",Louisville,KY,40291
" Beautiful Corner Unit on the First Floor in Malba Gardens. Features a Living Room/Dining Room Combo, Kitchen with New Appliances, 2 Large Bedrooms, 9x15 & 13x13, 1 Full Bathroom, Crown Moldings Throughout, Central Air/Heat, Ceiling Fans, New Windows and Laundry Room on Premise. Includes Garage #13. ","$325,000 ",,-73.82159,40.790478,2,1,1959," 1033 Whitestone Expy #1 Malba, NY 11357 ",Malba,NY,11357
" Investor and homebuyer opportunity! This property is being offered at a live auction on 02-03-2020. Buy it as an investment or enjoy it as your own home. Visit Auction.com to find out where and when the auction will take place. Also, view additional photos, sales comps, rental data, title info, neighborhood reports and more. Auction.com is the nation's leading online real estate marketplace offering over 30,000 discounted residential bank-owned and foreclosure deals. Don't miss the opportunity to buy homes that offer the potential for a high return on investment. In addition to this property, Auction.com has 191 scheduled for sale at this same auction. Altogether, Auction.com has 163 properties scheduled for sale in Miami-Dade County and 1218 throughout Florida. All properties and sale details can be found with a simple search at Auction.com. Create a free account to find similar properties, save your favorites and receive email alerts of upcoming auctions. To view the complete details of this property, click the ""Get Auction Details"" button above or paste the Property ID 2895912 into the search bar at Auction.com. ",Contact For Estimate,"4,991 sqft",-80.40111,25.730637,7,5,2006," 4025 SW 128th Ave Miami, FL 33175 ",Miami,FL,33175
" Beautiful and well maintained home located on a quiet cul-de-sac in Hearthstone Country Club community. Dramatic entry with curved stairway welcomes you home. This home offers 2 large, open and light entertaining areas downstairs with high ceilings. Large dining room for hosting dinner parties or just the family gathering. The downstairs master suite features high ceilings,double sinks, separate shower, jacuzzi tub, and double closets. The upstairs is a split plan with a one bedroom suite on one side and two bedrooms separated by a jack and jill bathroom. Very large backyard with plenty of room for a pool. 2 car garage with an extra parking pad. ","$339,900 ","3,490 sqft",-95.62109,29.886404,4,4,1983," 14102 N Suddley Castle St Houston, TX 77095 ",Houston,TX,77095
" Beautiful condo across the street from hike and bike trails. Gleaming hardwood floors, white cabinets and glass hanging lights in kitchen. Bosch refrigerator, recent dishwasher and built-in microwave. Bedroom w/ new carpet, designer hanging light and floor to ceiling windows. Nice balcony faces west toward Shady Grove and offers storage closet. Prime location, well-kept, ready for a new owner. Community spaces include rooftop terrace, garden, pool, gym and guest suite. Resident's parties@ central pecan tree. ","$400,000 ",743 sqft,-97.76099,30.263107,1,1,2008," 1600 Barton Springs Rd #5208 Austin, TX 78704 ",Austin,TX,78704
" This single-family home is located at 12709 US Highway 27 S, Fort Wayne, IN. 12709 US Highway 27 S is in Fort Wayne, IN and in ZIP code 46816. It is currently for sale and has been listed on Trulia for 1 day. This property is listed for $124,900. This property has 3 bedrooms, 1 bathroom and approximately 1,746 sqft of floor space. This property has a lot size of 0.46 acres and was built in 1951. ","$124,900 ","1,746 sqft",-85.077156,40.968475,3,1,1951," 12709 US Highway 27 S Fort Wayne, IN 46816 ",Fort Wayne,IN,46816
" UBER-CUTE IN SUPER-HOT STONERIDGE, RIGHT OFF MCALLISTER PARK! Hurry to see this fully renovated three bedroom, 1.5 bath home with high ceilings and open floor plan. Feel like you've stepped into an HGTV show with the stylish design in the kitchen and living area. Highly livable floor plan that seems larger than the square footage. Indoor laundry, new roof and gorgeous vinyl plank flooring! All this plus a darling patio and well landscaped yard ready for entertaining. NEISD schools, HOA has pool/amenities. ","$162,200 ","1,067 sqft",-98.43859,29.557907,3,2,1983," 12010 Stoney Xing San Antonio, TX 78247 ",San Antonio,TX,78247
